Origin,START-LATITUDE,START-LONGITUDE,Dest,END-LATITUDE,END-LONGITUDE
ABQ,35.04019928,-106.6090012,LAX,33.94250107,-118.4079971
BUR,34.20069885,-118.3590012,LAS,36.08010101,-115.1520004
LAS,36.08010101,-115.1520004,OAK,37.72129822,-122.2210007
LAX,33.94250107,-118.4079971,SFO,37.61899948,-122.375
MFR,42.37419891,-122.8730011,SJC,37.36259842,-121.9290009
MRY,36.5870018,-121.8430023,SMF,38.69540024,-121.5910034
OAK,37.72129822,-122.2210007,SAN,32.73360062,-117.1900024
PHX,33.43429947,-112.012001,SNA,33.67570114,-117.8679962
SAN,32.73360062,-117.1900024,ABQ,35.04019928,-106.6090012
SCK,37.89419937,-121.237999,PHX,33.43429947,-112.012001
SFO,37.61899948,-122.375,RNO,39.49909973,-119.7679977
SJC,37.36259842,-121.9290009,BUR,34.20069885,-118.3590012
SMF,38.69540024,-121.5910034,GEG,47.61989975,-117.5339966
SNA,33.67570114,-117.8679962,PDX,45.58869934,-122.5979996
TUS,32.11610031,-110.9410019,SCK,37.89419937,-121.237999
BGM,42.20869827,-75.97979736,BWI,39.17539978,-76.66829681
BWI,39.17539978,-76.66829681,BDL,41.93889999,-72.68319702
CHO,38.1385994,-78.45290375,BGM,42.20869827,-75.97979736
CHS,32.89860153,-80.04049683,JFK,40.63980103,-73.77890015
CLT,35.2140007,-80.94309998,RIC,37.50519943,-77.31970215
EWR,40.69250107,-74.16870117,SYR,43.11119843,-76.10630035
GSO,36.09780121,-79.93730164,LGA,40.77719879,-73.87259674
ISP,40.79520035,-73.10019684,ORF,36.89459991,-76.20120239
JFK,40.63980103,-73.77890015,LEX,38.03649902,-84.60590363
LGA,40.77719879,-73.87259674,LYH,37.3266983,-79.20040131
LYH,37.3266983,-79.20040131,ROA,37.32550049,-79.97540283
MYR,33.67969894,-78.92829895,BUF,42.94049835,-78.73220062
ORF,36.89459991,-76.20120239,MRY,36.5870018,-121.8430023
ROA,37.32550049,-79.97540283,GSO,36.09780121,-79.93730164
SEA,47.44900131,-122.3089981,CHO,38.1385994,-78.45290375
SYR,43.11119843,-76.10630035,CLT,35.2140007,-80.94309998
BOS,42.36429977,-71.00520325,BOS,42.36429977,-71.00520325
CMH,39.9980011,-82.89189911,BTV,44.47190094,-73.15329742
DEN,39.86169815,-104.6729965,DCA,38.8521,-77.037697
FLL,26.07259941,-80.15270233,ELM,42.15990067,-76.89160156
HNL,21.31870079,-157.9219971,ORD,41.97859955,-87.90480042
HOU,29.64539909,-95.27890015,DFW,32.89680099,-97.03800201
IAD,38.94449997,-77.45580292,FAT,36.77619934,-119.7180023
IAH,29.9843998,-95.34140015,HNL,21.31870079,-157.9219971
KOA,19.73880005,-156.0460052,IAD,38.94449997,-77.45580292
LIH,21.97599983,-159.3390045,DEN,39.86169815,-104.6729965
MCI,39.2976,-94.713898,KOA,19.73880005,-156.0460052
MCO,28.42939949,-81.30899811,LIH,21.97599983,-159.3390045
MKE,42.94720078,-87.89659882,OGG,20.89859962,-156.4299927
MSY,29.99340057,-90.25800323,MSY,29.99340057,-90.25800323
OGG,20.89859962,-156.4299927,IAH,29.9843998,-95.34140015
OMA,41.30319977,-95.89409637,ABE,40.65209961,-75.44080353
ORD,41.97859955,-87.90480042,DTW,42.21239853,-83.35340118
PHL,39.87189865,-75.2410965,EWR,40.69250107,-74.16870117
RIC,37.50519943,-77.31970215,OMA,41.30319977,-95.89409637
ABE,40.65209961,-75.44080353,PHL,39.87189865,-75.2410965
BDL,41.93889999,-72.68319702,SDF,38.1744,-85.736
CLE,41.4117012,-81.84980011,PIT,40.49150085,-80.23290253
DAY,39.90240097,-84.2193985,TUS,32.11610031,-110.9410019
DCA,38.8521,-77.037697,IND,39.7173,-86.294403
IND,39.7173,-86.294403,CLE,41.4117012,-81.84980011
MDT,40.19350052,-76.76339722,ALB,42.74829865,-73.80169678
MIA,25.79319954,-80.29060364,CMH,39.9980011,-82.89189911
PIT,40.49150085,-80.23290253,ISP,40.79520035,-73.10019684
PSP,33.82970047,-116.5070038,MCO,28.42939949,-81.30899811
PVD,41.73260117,-71.42040253,TPA,27.97550011,-82.53320313
TPA,27.97550011,-82.53320313,PSP,33.82970047,-116.5070038
TYS,35.81100082,-83.9940033,MCI,39.2976,-94.713898
ACY,39.45759964,-74.57720184,SEA,47.44900131,-122.3089981
AVP,41.33850098,-75.7233963,ROC,43.1189003,-77.67240143
BNA,36.12450027,-86.67819977,FAY,34.99119949,-78.88030243
BUF,42.94049835,-78.73220062,PBI,26.68320084,-80.09559631
CRW,38.37310028,-81.59320068,CHS,32.89860153,-80.04049683
CVG,39.04880142,-84.6678009,OAJ,34.82920074,-77.61209869
DTW,42.21239853,-83.35340118,FNT,42.9654007,-83.74359894
ICT,37.64989853,-97.43309784,ACY,39.45759964,-74.57720184
LEX,38.03649902,-84.60590363,AVP,41.33850098,-75.7233963
MDW,41.7859993,-87.75240326,BNA,36.12450027,-86.67819977
PBI,26.68320084,-80.09559631,DAY,39.90240097,-84.2193985
PHF,37.13190079,-76.49299622,MDT,40.19350052,-76.76339722
PWM,43.64619827,-70.30930328,MDW,41.7859993,-87.75240326
RNO,39.49909973,-119.7679977,PVD,41.73260117,-71.42040253
STL,38.74869919,-90.37000275,SWF,41.5041008,-74.10479736
TLH,30.39649963,-84.35030365,CHA,35.03530121,-85.20379639
ALB,42.74829865,-73.80169678,RDU,35.87760162,-78.78749847
ATL,33.63669968,-84.42810059,ICT,37.64989853,-97.43309784
AUS,30.19449997,-97.66989899,MHT,42.93259811,-71.43569946
DFW,32.89680099,-97.03800201,ORH,42.26729965,-71.8757019
DSM,41.5340004,-93.6631012,FLL,26.07259941,-80.15270233
GNV,29.69009972,-82.27179718,HTS,38.36669922,-82.55799866
JAX,30.49410057,-81.68789673,CAK,40.91609955,-81.44219971
LAN,42.77870178,-84.58740234,RSW,26.53619957,-81.75520325
MSP,44.88199997,-93.22180176,GSP,34.89569855,-82.21890259
RDU,35.87760162,-78.78749847,JAX,30.49410057,-81.68789673
ROC,43.1189003,-77.67240143,ATL,33.63669968,-84.42810059
RSW,26.53619957,-81.75520325,GRR,42.88079834,-85.52279663
SBN,41.70869827,-86.31729889,STL,38.74869919,-90.37000275
BTV,44.47190094,-73.15329742,CAE,33.93880081,-81.11949921
CAE,33.93880081,-81.11949921,MIA,25.79319954,-80.29060364
ERI,42.08312701,-80.17386675,ERI,42.08312701,-80.17386675
HPN,41.06700134,-73.70760345,PHF,37.13190079,-76.49299622
MHT,42.93259811,-71.43569946,TOL,41.58679962,-83.80780029
MLB,28.10280037,-80.64530182,ILM,34.27059937,-77.90260315
SWF,41.5041008,-74.10479736,PWM,43.64619827,-70.30930328
TRI,36.47520065,-82.40740204,HPN,41.06700134,-73.70760345
SJU,18.43939972,-66.00180054,MKE,42.94720078,-87.89659882
SRQ,27.39539909,-82.55439758,MSP,44.88199997,-93.22180176
COS,38.80580139,-104.7009964,SBN,41.70869827,-86.31729889
SDF,38.1744,-85.736,AVL,35.43619919,-82.54180145
SLC,40.78839874,-111.9779968,MYR,33.67969894,-78.92829895
STX,17.70190048,-64.79859924,PNS,30.47340012,-87.18659973
BHM,33.56290054,-86.75350189,COS,38.80580139,-104.7009964
MEM,35.04240036,-89.97669983,OKC,35.39310074,-97.60070038
SAV,32.12760162,-81.20210266,TUL,36.19839859,-95.88809967
BIL,45.80770111,-108.5429993,BOI,43.56439972,-116.2229996
BOI,43.56439972,-116.2229996,SAT,29.53370094,-98.46980286
GEG,47.61989975,-117.5339966,EUG,44.12459946,-123.211998
GRR,42.88079834,-85.52279663,ONT,34.05599976,-117.6009979
OKC,35.39310074,-97.60070038,CVG,39.04880142,-84.6678009
ONT,34.05599976,-117.6009979,DSM,41.5340004,-93.6631012
PDX,45.58869934,-122.5979996,SLC,40.78839874,-111.9779968
SAT,29.53370094,-98.46980286,SJU,18.43939972,-66.00180054
EGE,39.64260101,-106.9179993,SRQ,27.39539909,-82.55439758
ANC,61.17440033,-149.9960022,STT,18.33729935,-64.9733963
ELP,31.80719948,-106.3779984,EYW,24.55610085,-81.75959778
EYW,24.55610085,-81.75959778,ANC,61.17440033,-149.9960022
STT,18.33729935,-64.9733963,AUS,30.19449997,-97.66989899
AMA,35.2193985,-101.7060013,ELP,31.80719948,-106.3779984
CRP,27.77039909,-97.50119781,AMA,35.2193985,-101.7060013
DAL,32.8470993,-96.85179901,DAL,32.8470993,-96.85179901
HRL,26.22850037,-97.65440369,HOU,29.64539909,-95.27890015
JAN,32.31119919,-90.07589722,LBB,33.66360092,-101.822998
LBB,33.66360092,-101.822998,MAF,31.94249916,-102.2020035
LIT,34.72940063,-92.22429657,HRL,26.22850037,-97.65440369
MAF,31.94249916,-102.2020035,BHM,33.56290054,-86.75350189
TUL,36.19839859,-95.88809967,JAN,32.31119919,-90.07589722